"","scoure","target","value"
"1",0,56,1
"2",1,56,1
"3",2,56,1
"4",17,56,3
"5",18,56,4
"6",20,56,1
"7",27,56,1
"8",31,56,1
"9",39,56,21
"10",42,56,1
"11",46,56,1
"12",52,56,1
"13",54,56,1
"14",56,3,1
"15",56,4,1
"16",56,5,2
"17",56,6,1
"18",56,7,1
"19",56,8,1
"20",56,9,1
"21",56,10,1
"22",56,11,3
"23",56,12,3
"24",56,13,3
"25",56,14,9
"26",56,15,1
"27",56,16,2
"28",56,17,1
"29",56,18,5
"30",56,19,4
"31",56,21,1
"32",56,22,1
"33",56,23,29
"34",56,24,6
"35",56,25,1
"36",56,26,1
"37",56,28,20
"38",56,29,1
"39",56,30,1
"40",56,31,1
"41",56,32,4
"42",56,33,2
"43",56,34,1
"44",56,35,1
"45",56,36,1
"46",56,37,1
"47",56,38,1
"48",56,40,2
"49",56,41,1
"50",56,42,1
"51",56,43,1
"52",56,44,8
"53",56,45,2
"54",56,47,2
"55",56,48,1
"56",56,49,3
"57",56,50,2
"58",56,51,1
"59",56,53,1
"60",56,54,2
"61",56,55,2
"62",56,57,3
"63",56,58,4
"64",56,59,8
"65",56,60,8
"66",56,61,1
"67",56,62,8
"68",56,63,4
"69",56,64,1
"70",56,66,1
"71",56,67,2
"72",56,68,214
"73",56,72,1
"74",56,73,1
"75",56,74,1
"76",56,75,2
"77",56,76,2
"78",56,77,3
"79",56,78,3
"80",56,79,1
"81",56,81,1
"82",56,82,3
"83",56,84,1
"84",56,85,2
"85",56,86,8
"86",56,87,1
"87",56,88,1
"88",56,89,1
"89",56,90,1
"90",56,91,20
"91",56,92,1
"92",56,94,1
"93",56,95,2
"94",56,96,3
"95",56,97,15
"96",56,98,1
"97",56,99,1
"98",56,100,1
"99",56,101,1
"100",56,102,3
"101",56,103,3
"102",56,105,4
"103",56,107,2
"104",56,108,52
"105",56,110,3
"106",56,111,1
"107",56,112,1
"108",56,114,74
"109",56,115,3
"110",56,116,1
"111",56,117,3
"112",56,118,1
"113",56,119,3
"114",56,120,3
"115",56,122,1
"116",56,123,1
"117",56,125,7
"118",56,126,1
"119",56,127,1
"120",56,128,1
"121",56,129,2
"122",56,130,3
"123",56,131,1
"124",56,132,1
"125",56,134,1
"126",56,135,4
"127",56,136,1
"128",56,137,1
"129",56,138,1
"130",56,139,1
"131",56,141,1
"132",57,56,2
"133",58,56,2
"134",59,56,1
"135",60,56,4
"136",64,56,1
"137",65,56,1
"138",68,114,1
"139",68,140,2
"140",69,56,1
"141",70,56,2
"142",71,56,2
"143",76,56,1
"144",80,56,1
"145",82,56,3
"146",83,56,1
"147",84,56,1
"148",85,56,1
"149",86,56,22
"150",90,56,1
"151",91,56,11
"152",93,56,1
"153",96,56,1
"154",99,56,3
"155",101,56,7
"156",102,56,1
"157",103,56,1
"158",104,56,1
"159",106,56,1
"160",107,56,1
"161",108,56,5
"162",109,56,1
"163",110,56,1
"164",113,56,1
"165",115,56,1
"166",117,56,2
"167",118,56,2
"168",121,56,1
"169",124,56,5
"170",125,56,6
"171",133,56,1
"172",137,56,3
