"","name","size","group"
"1",515574088,1,1
"2",812821378,1,1
"3",5154444440,1,1
"4",92515150828,1,1
"5",92515178410,1,1
"6",92515202410,2,1
"7",92515519578,1,1
"8",92515563666,1,1
"9",92515586161,1,1
"10",92515790772,1,1
"11",92515791357,1,1
"12",92515791966,3,1
"13",92519270721,3,1
"14",92519270727,3,1
"15",92519271520,9,1
"16",92915273439,1,1
"17",265025199990,2,1
"18",265025221747,4,1
"19",265025362778,9,1
"20",265045306677,4,1
"21",265046468474,1,1
"22",265070158856,1,1
"23",265076051138,1,1
"24",265076360822,29,1
"25",265088309068,6,1
"26",265101512762,1,1
"27",265105413895,1,1
"28",265107292929,1,1
"29",265108599766,20,1
"30",265108706619,1,1
"31",265109780835,1,1
"32",265114499181,2,1
"33",265115524174,4,1
"34",265116470746,2,1
"35",265119156226,1,1
"36",265123574962,1,1
"37",265125922126,1,1
"38",265130170220,1,1
"39",265135537307,1,1
"40",265145240148,21,1
"41",265145353397,2,1
"42",265155062266,1,1
"43",265165858516,2,1
"44",265169670074,1,1
"45",265175080027,8,1
"46",265205500210,2,1
"47",265205504593,1,1
"48",265213061188,2,1
"49",265215073293,1,1
"50",265215234500,3,1
"51",265215550428,2,1
"52",265313430214,1,1
"53",265314014770,1,1
"54",265314471845,1,1
"55",265315092773,3,1
"56",265315684599,2,1
"57",265319017229,803,1
"58",265321661653,5,1
"59",265325201472,6,1
"60",265325300555,9,1
"61",265325594360,12,1
"62",265325603545,1,1
"63",265325603546,8,1
"64",265325603548,4,1
"65",265325674757,2,1
"66",265326868786,1,1
"67",265329392522,1,1
"68",265329392922,2,1
"69",265329943129,217,1
"70",265330373730,1,1
"71",265330788508,2,1
"72",265330970809,2,1
"73",265332398102,1,1
"74",265333063868,1,1
"75",265333462320,1,1
"76",265335178844,2,1
"77",265335253877,3,1
"78",265335287974,3,1
"79",265335296378,3,1
"80",265335317379,1,1
"81",265335540799,1,1
"82",265335604323,1,1
"83",265335683733,6,1
"84",265335726101,1,1
"85",265335811303,2,1
"86",265335889033,3,1
"87",265335909029,30,1
"88",265335973320,1,1
"89",265336721055,1,1
"90",265338884333,1,1
"91",265339113007,2,1
"92",265339252737,31,1
"93",265339324064,1,1
"94",265339349326,1,1
"95",265339386151,1,1
"96",265341513528,2,1
"97",265341530391,4,1
"98",265343532165,15,1
"99",265344428836,1,1
"100",265344855865,4,1
"101",265345107590,1,1
"102",265345223307,8,1
"103",265345522441,4,1
"104",265345564527,4,1
"105",265345592929,1,1
"106",265346225804,4,1
"107",265348508132,1,1
"108",265348747335,3,1
"109",265349156796,57,1
"110",265349422403,1,1
"111",265350053051,4,1
"112",265352541969,1,1
"113",265355316007,1,1
"114",265358070234,1,1
"115",265359162583,75,1
"116",265359265772,4,1
"117",265361017646,1,1
"118",265361857068,5,1
"119",265365068405,3,1
"120",265365128908,3,1
"121",265367772702,3,1
"122",265368408743,1,1
"123",265420511137,1,1
"124",265424866633,1,1
"125",265425019526,5,1
"126",265429043425,13,1
"127",265434148560,1,1
"128",265434999966,1,1
"129",265435292885,1,1
"130",265444010530,2,1
"131",265448033235,3,1
"132",265455220158,1,1
"133",265455255763,1,1
"134",265481112118,1,1
"135",923005533775,1,1
"136",923005579957,4,1
"137",923006415236,1,1
"138",923009014204,4,1
"139",923009800873,1,1
"140",923307073192,1,1
"141",923359162583,2,1
"142",9251111333100,1,1
